Cavité :	Amalgame
Système de coordonnées : UTM - fuseau 31
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		Chaine P36																723773.3	5021873.8	1641.7			

Galerie :	Pulpite vers Lac
Date du lever : 	08/05/2012	Déclinaison = 	-1.03 °
Operateurs :	F. de Felix	Pascal
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	Chaine P36	>< 20-81	   0.0 °											  90.0 °				723773.3	5021873.8	1641.7			
Date du lever : 	26/09/2010	Déclinaison = 	-0.81 °
Operateurs :	O.Testa	O Testa
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	20-81	   20-81	   0.0 °											  90.0 °				723773.3	5021873.8	1641.7			

Date du lever : 	06/08/2011	Déclinaison = 	0.87 °
Operateurs :	E. Vitte	P. Orchampt
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	23-47	    -- -->  	  18.3 °	  16.1 °		1.16								  16.1 °	0.32	1.16	1.11	723780.2	5021845.7	1743.4	126.5		

	23-47	    -- -->  	  44.6 °	   6.2 °		0.91								   6.2 °	0.10	0.91	0.90	723780.5	5021845.3	1743.2	126.3		

	23-47	    -- -->  	  71.8 °	  12.8 °		1.33								  12.8 °	0.29	1.33	1.30	723781.1	5021845.0	1743.4	126.6		

	23-47	    -- -->  	  96.8 °	   1.8 °		0.45								   1.8 °	0.01	0.45	0.45	723780.3	5021844.6	1743.1	125.8		

	23-47	    -- -->  	 136.2 °	  15.5 °		0.65								  15.5 °	0.17	0.65	0.63	723780.3	5021844.2	1743.3	126.0		

	23-47	    -- -->  	 169.9 °	  18.5 °		0.31								  18.5 °	0.10	0.31	0.29	723779.9	5021844.4	1743.2	125.6		

	23-47	    -- -->  	  94.9 °	 -83.8 °		1.51								 -83.8 °	-1.50	1.51	0.16	723780.0	5021844.6	1741.6	125.5		

	23-47	    -- -->  	 167.5 °	  85.2 °		0.78								  85.2 °	0.78	0.78	0.07	723779.9	5021844.6	1743.9	125.4		

	Ma1	    -- -->  	 293.8 °	  -9.7 °		0.36								  -9.7 °	-0.06	0.36	0.35	723780.8	5021839.8	1746.3	130.9		

	Ma1	    -- -->  	 336.3 °	  -8.3 °		0.68								  -8.3 °	-0.10	0.68	0.67	723780.9	5021840.3	1746.3	131.2		

	Ma1	    -- -->  	 346.5 °	  -3.3 °		1.30								  -3.3 °	-0.07	1.30	1.30	723780.9	5021840.9	1746.3	131.8		

	Ma1	    -- -->  	 275.1 °	   2.3 °		0.37								   2.3 °	0.01	0.37	0.37	723780.8	5021839.7	1746.4	130.9		

	Ma1	    -- -->  	 325.7 °	  76.2 °		1.28								  76.2 °	1.24	1.28	0.31	723781.0	5021839.9	1747.6	130.8		

	Ma1	    -- -->  	 322.4 °	 -76.3 °		2.94								 -76.3 °	-2.86	2.94	0.70	723780.7	5021840.2	1743.5	131.2		

	Ma1	   Ma2	 184.6 °	   3.1 °		1.55				0.3		1.5	2.6	   3.1 °	0.08	1.55	1.55	723781.0	5021838.1	1746.5	132.1		

	Ma2	    -- -->  	  51.9 °	 -11.7 °		0.30								 -11.7 °	-0.06	0.30	0.29	723781.2	5021838.3	1746.4	132.4		

	Ma2	    -- -->  	 336.2 °	  -1.1 °		0.38								  -1.1 °	-0.01	0.38	0.38	723780.9	5021838.4	1746.5	132.5		

	Ma2	    -- -->  	  20.5 °	 -10.9 °		0.68								 -10.9 °	-0.13	0.68	0.67	723781.3	5021838.7	1746.3	132.7		

	Ma2	    -- -->  	 337.9 °	 -81.7 °		2.62								 -81.7 °	-2.59	2.62	0.38	723780.9	5021838.5	1743.9	132.5		

	Ma2	    -- -->  	 339.3 °	  80.1 °		1.48								  80.1 °	1.46	1.48	0.25	723780.9	5021838.3	1747.9	132.3		

	Ma2	   Ma3	 101.1 °	   3.9 °		1.59					0.4	0.0	0.2	   3.9 °	0.11	1.59	1.59	723782.6	5021837.8	1746.6	133.7		

	Ma3	    -- -->  	 233.8 °	  -8.3 °		0.43								  -8.3 °	-0.06	0.43	0.43	723782.2	5021837.5	1746.5	134.1		

