Cavité :	Puits du 8 ao�t
Système de coordonnées : UTM - fuseau 31
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		8a1																724130.5	5021903.9	1912.0			

Galerie :	Galerie d'entr�e
Date du lever : 	02/09/2012	Déclinaison = 	1.01 °
Operateurs :	?ric Sanson notes	Serge Caillault length compass clino
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en degrés
mesures des Pentes :	DistoX	 en degrés
	8a11	   8a12	 251.4 °	 -25.1 °		2.31				0.3	0.5	0.3	0.6	 -25.0 °	-0.98	2.31	2.09	724139.3	5021883.7	1866.0	35.3		

	8a12	    -- -->  	 216.3 °	 -15.4 °		0.31								 -15.4 °	-0.08	0.31	0.30	724139.1	5021883.5	1865.9	35.6		

	8a12	    -- -->  	  10.0 °	  16.4 °		0.49								  16.4 °	0.14	0.49	0.47	724139.4	5021884.2	1866.1	35.7		

	8a12	    -- -->  	 297.2 °	  69.6 °		0.36								  69.6 °	0.34	0.36	0.13	724139.2	5021883.8	1866.3	35.4		

	8a12	    -- -->  	  77.5 °	 -76.3 °		0.60								 -76.3 °	-0.59	0.60	0.14	724139.4	5021883.7	1865.4	35.4		

	8a12	   8a13	 315.5 °	 -27.9 °		1.35				0.4	0.2	0.4	1.2	 -27.9 °	-0.63	1.35	1.19	724138.4	5021884.5	1865.3	36.5		

	8a13	    -- -->  	 180.4 °	  -7.4 °		0.40								  -7.4 °	-0.05	0.40	0.40	724138.4	5021884.1	1865.3	36.9		

	8a13	    -- -->  	 341.4 °	   1.9 °		0.21								   1.9 °	0.01	0.21	0.21	724138.4	5021884.7	1865.3	36.7		

	8a13	    -- -->  	 221.8 °	  73.7 °		0.45								  73.7 °	0.43	0.45	0.13	724138.3	5021884.5	1865.8	36.6		

	8a13	    -- -->  	 313.9 °	 -79.8 °		1.23								 -79.8 °	-1.21	1.23	0.22	724138.3	5021884.7	1864.1	36.7		

	8a13	   8a14	 225.9 °	 -39.7 °		1.19				0.2	0.3	1.0	0.8	 -39.7 °	-0.76	1.19	0.92	724137.8	5021883.9	1864.6	37.4		

	8a14	    -- -->  	 157.9 °	  -3.0 °		0.21								  -3.0 °	-0.01	0.21	0.21	724137.9	5021883.7	1864.6	37.6		

	8a14	    -- -->  	 333.6 °	   1.0 °		0.28								   1.0 °	0.01	0.28	0.28	724137.7	5021884.1	1864.6	37.7		

	8a14	    -- -->  	 293.1 °	  81.3 °		0.98								  81.3 °	0.97	0.98	0.15	724137.6	5021884.0	1865.5	37.5		

	8a14	    -- -->  	  28.5 °	 -82.8 °		0.86								 -82.8 °	-0.85	0.86	0.11	724137.8	5021884.0	1863.7	37.5		

	8a14	   8a15	 293.3 °	 -22.2 °		1.98				0.4	0.3	1.3	0.6	 -22.2 °	-0.75	1.98	1.83	724136.1	5021884.6	1863.8	39.2		

	8a15	    -- -->  	 158.4 °	   6.6 °		0.41								   6.6 °	0.05	0.41	0.41	724136.2	5021884.2	1863.9	39.6		

	8a15	    -- -->  	 338.4 °	   3.1 °		0.29								   3.1 °	0.02	0.29	0.29	724136.0	5021884.9	1863.8	39.5		

	8a15	    -- -->  	 176.4 °	  82.0 °		1.36								  82.0 °	1.34	1.36	0.19	724136.1	5021884.4	1865.2	39.4		

	8a15	    -- -->  	 225.0 °	 -81.5 °		0.65								 -81.5 °	-0.64	0.65	0.10	724136.0	5021884.5	1863.2	39.3		

	8a15	   8a16	 216.9 °	  -0.0 °		1.94				0.2	0.2	1.0	0.8	  -0.0 °	-0.00	1.94	1.94	724134.9	5021883.0	1863.8	41.2		

	8a16	    -- -->  	 163.9 °	   9.6 °		0.20								   9.6 °	0.03	0.20	0.20	724135.0	5021882.8	1863.8	41.4		

	8a16	    -- -->  	 336.4 °	  -2.8 °		0.25								  -2.8 °	-0.01	0.25	0.25	724134.8	5021883.2	1863.8	41.4		

	8a16	    -- -->  	 283.3 °	  82.1 °		0.98								  82.1 °	0.97	0.98	0.13	724134.8	5021883.0	1864.8	41.3		

	8a16	    -- -->  	 272.3 °	 -88.3 °		0.82								 -88.3 °	-0.82	0.82	0.02	724134.9	5021883.0	1863.0	41.2		

	8a16	   8a17	 294.3 °	 -13.1 °		2.04				0.2	0.2	1.0	0.8	 -13.1 °	-0.46	2.04	1.99	724133.1	5021883.8	1863.4	43.1		

	8a17	    -- -->  	 167.4 °	   1.2 °		0.24								   1.2 °	0.01	0.24	0.24	724133.2	5021883.6	1863.4	43.4		

	8a17	    -- -->  	 334.9 °	   4.1 °		0.24								   4.1 °	0.02	0.24	0.24	724133.0	5021884.0	1863.4	43.4		

	8a17	    -- -->  	 215.8 °	  86.8 °		0.96								  86.8 °	0.96	0.96	0.05	724133.1	5021883.8	1864.3	43.2		

	8a17	    -- -->  	 166.8 °	 -84.1 °		0.84								 -84.1 °	-0.84	0.84	0.09	724133.1	5021883.7	1862.5	43.2		

	8a17	   8a18	 251.3 °	 -10.5 °		1.03				0.2	0.4	1.0	1.0	 -10.5 °	-0.19	1.03	1.01	724132.2	5021883.5	1863.2	44.2		

	8a18	    -- -->  	 217.5 °	  -2.6 °		0.22								  -2.6 °	-0.01	0.22	0.22	724132.0	5021883.3	1863.2	44.4		

	8a18	    -- -->  	  25.0 °	  -1.2 °		0.39								  -1.2 °	-0.01	0.39	0.39	724132.3	5021883.8	1863.2	44.5		

	8a18	    -- -->  	 304.9 °	  78.4 °		1.00								  78.4 °	0.98	1.00	0.20	724132.0	5021883.6	1864.1	44.4		

	8a18	    -- -->  	 213.4 °	 -84.2 °		1.03								 -84.2 °	-1.03	1.03	0.11	724132.1	5021883.4	1862.1	44.3		

	8a18	   8a19	 294.5 °	 -24.3 °		1.21				0.3	0.2	0.6	0.8	 -24.3 °	-0.50	1.21	1.10	724131.2	5021883.9	1862.7	45.3		

